yi,vi,via,se,sea,refid,effect_outcome,study_outcome_type,study_outcome_domain,bibliography,user.x,ris_code,level.x,study_es_list_k,effect_intervention_group,effect_comparison_group,effect_outcome_type,effect_report_number,effect_page,effect_type,effect_timing,effect_favored,effect_intervention_baseline_participants,effect_comparison_baseline_participants,effect_intervention_followup_participants,effect_comparison_followup_participants,effect_intervention_baseline_classrooms,effect_comparison_baseline_classrooms,effect_intervention_followup_classrooms,effect_comparison_followup_classrooms,effect_intervention_baseline_schools,effect_comparison_baseline_schoools,effect_intervention_followup_schools,effect_comparison_followup_schools,effect_intervention_baseline_mean,effect_intervention_baseline_sd,effect_intervention_followup_mean,effect_intervention_followup_sd,effect_comparison_baseline_mean,effect_comparison_baseline_sd,effect_comparison_followup_mean,effect_comparison_followup_sd,effect_intervention_n_successful,effect_intervention_n_unsuccessful,effect_comparison_n_successful,effect_comparison_n_unsuccessful,effect_size_type_na_i_entered_the_necessary_information_above,effect_size_type_means_and_standard_errors_s_es,effect_size_type_independent_t_test,effect_size_type_one_way_anova_f_test_with_df_1,effect_size_type_chi_squared_test_statistic_with_df_1,effect_size_type_unstandardized_regression_coefficient_for_treatment_dummy_indicator,effect_size_type_standardized_regression_coefficient_for_treatment_dummy_indicator,effect_size_type_author_reported_odds_ratio,effect_size_type_author_reported_standardized_mean_difference,effect_size_type_insufficient_information_to_calculate_effect_size,effect_r_squared,effect_se_intervention_mean,effect_se_intervention_se,effect_se_comparison_mean,effect_se_comparison_se,effect_t_test,effect_f_test,effect_chi_square,effect_unstandardized_coefficient,effect_unstandardized_sd,effect_standardized_coefficient,effect_standardized_sd,effect_or,effect_or_ci_lower,effect_or_ci_upper,effect_smd,effect_smd_ci_lower,effect_smd_ci_upper,effect_notes,year_m,female_m,public_m,Aust_m,RCT_m,secondary_m,study_assignment_level.x,study_cluster_size.x,universal_m,rob_high_m,effect_icc,design_effect,sqrt_design_effect,source,processed_outcome_measure_roots,processed_intervention_roots,yi_raw,vi_raw,user.y,level.y,study_author_year,study_cor_author,study_cor_institute,study_corr_email,study_publication_year,study_start_date,study_end_date,study_number_groups,study_prevention_level_universal,study_prevention_level_targeted,study_recruitment_approach,study_eligibility_criteria,study_number_participants,study_number_classrooms,study_number_schools,study_percent_female,study_percent_aian,study_percent_asian,study_percent_black,study_percent_nhpi,study_percent_white,study_percent_hispanic,study_percent_mixed,study_percent_other,study_percent_frpl,study_percent_ell,study_age_average,study_age_avg_type,study_age_dispersion,study_age_dispersion_type,study_grade_level_1,study_grade_level_2,study_grade_level_3,study_grade_level_4,study_grade_level_5,study_grade_level_6,study_grade_level_7,study_grade_level_8,study_grade_level_9,study_grade_level_10,study_grade_level_11,study_grade_level_12,study_grade_level_cannot_tell,study_school_level_elementary_school,study_school_level_middle_school,study_school_level_high_school,study_school_level_only_reported_primary_school,study_school_level_only_reported_secondary_school,study_school_level_cannot_tell,study_country_australia,study_country_united_kingdom,study_country_netherlands,study_country_spain,study_country_canada,study_country_italy,study_country_ireland,study_country_malaysia,study_country_south_africa,study_country_norway,study_country_sweden,study_country_slovenia,study_country_mexico,study_school_area_rural,study_school_area_suburban,study_school_area_urban,study_school_area_cannot_tell,study_school_type_public,study_school_type_private,study_school_type_parochial,study_school_type_cannot_tell,study_flow_diagram,study_research_design,study_assignment_level.y,study_cluster_level,study_cluster_size.y,study_registration,study_availability_statement,clean_school_type,clean_school_area,clean_grade_band,clean_country
0.264402496614812,0.0674821351449979,0.313907535392535,0.382112936198575,0.56027451788613,10091,Multidimensional Anxiety Scale for Children (MASC)-MASC: Cutoff,Self-report,Anxiety diagnosis,"Miller, et al 2010",spgrant,,8,1-Taming Worry Dragons-2-Waitlist-2-Multidimensional Anxiety Scale for Children (MASC)-MASC: Cutoff-Categorical-0,Taming Worry Dragons,Waitlist,Categorical,10431,58,Post-test,0,Intervention,,,74,42,,,4,2,,,2,1,,,,,,,,,62,12,32,10,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.50,yes,no,yes,no,Cluster,39.33,yes,no,0.03,2.1499,1.46625372974803,diagnosis,Multidimensional Anxiety Scale for Children (MASC),Taming Worry Dragons,-0.384073918126847,0.146010296010296,"spgrant,mschweer",8,Miller 2010,Lynn D. Miller,University of British Columbia,lynn.miller@ubc.ca,2010,2004,2004,2,Universal,,"We contacted the superintendents of eight school districts within geographic driving distance in a large metropolitan area to take part in the study. Only one district agreed to bring the research opportunity to their district personnel for consideration (other districts declined because of calendar pressures, focus on other curricular interventions, too many changes in personnel, etc.). Thirty-five elementary school principals (K–7) in the participating large suburban school district were invited to enroll in this research project via a presentation on the research project at the school board district office in June 2004. Of the 35 elementary schools, 17 expressed interest in participation. Three of these schools were selected based on being the first schools to respond to the study, by faxing in the signatures of both the school administrator and the participating teachers. Parents of all children (N = 162) from the classes were informed of this project by a letter and were asked to give their consent for their children to participate. The letters were sent home by their classroom teacher and returned to the teacher in a sealed envelope. All children in the classroom received the program, but data were used only from children whose parents had given consent. The final sample of participants in the study consisted of 118 students (44 children did not return consent forms to participate in the study, for reasons unknown). Information sheets outlining the aims and objectives of the study and describing the prevention program, the consent forms, and the assessment instruments (i.e., BASC-PRS, MASC) were sent home to all parents via each child. The children returned the forms in a sealed envelope (provided with the package) and placed it in a bag in their classroom to be collected by the researcher. No parents asked to have their child withdrawn from the program.",Include: Grade 3-7 students in public elementary school in a large suburban school district; consent from parents; fluency in English; willingness to participate in the program. Exclude: diagnosed mental disorder or mental retardation; had a condition that prevented them from participating in eight consecutive weeks of the program.,118,6,3,0.50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.75,Mean,7-12,Range,,,3,4,5,6,7,,,,,,,Elementary School,,,,,,,,,,Canada,,,,,,,,,,Suburban,,,Public,,,,No,Randomized trial,Cluster,School,39.33,-999,-999,Public,Suburban,K-8,Canada
0.128621860630717,0.0269706494575511,0.318110133452305,0.277576111979758,0.564012529517125,10095,Spence Children’s Anxiety Scale-SCAS: Cutoff,Self-report,Anxiety diagnosis,"Lock, et al 2003",spgrant,,8,1-FRIENDS-2-Waitlist-1-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0,FRIENDS,Waitlist,Categorical,10095,189,Post-test,0,Intervention,,,365,271,,,-999,-999,,,-999,-999,,,,,,,,,340,25,248,23,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.53,no,yes,yes,yes,Cluster,105.29,yes,yes,0.03,4.1287,2.03192027402652,diagnosis,Spence Children’s Anxiety Scale (SCAS),FRIENDS Program,-0.21439692376374,0.0770484979417989,"spgrant,mschweer",8,Lock 2003,Paula M. Barrett,Griffith University,P.Barrett@griffith.edu.au,2003,-999,-999,2,Universal,,"Participants were 977 children aged 9 to 16 years from seven socioeconomically diverse schools in the metropolitan area of Brisbane, Australia. All schools participating in the project were from the independent education sector. The majority of children attending these schools were white, Anglo-Saxon, Catholic or Protestant Christian, and working to middle class. Initial consent was obtained from the principal of each school to invite students, their parents, and their teachers to participate in a longitudinal research project. All parents of students in the intervention schools in grade 6 and grade 9 were sent a letter, including a consent form, outlining that their child, along with the rest of their class, had been invited to participate in a group to help build their emotional resilience, coping skills and problem-solving abilities. Of the families initially contacted, 78.1% of grade 6 and 76.9% of grade 9 participants consented to participate in the study.","Include: Grade 6 and 9 children from seven socioeconomically diverse schools in the metropolitan area of Brisbane, Australia",737,-999,7,0.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,Cannot tell,9-16,Range,,,,,,6,,,9,,,,,,,,Only reported Primary School,Only reported Secondary School,,Australia,,,,,,,,,,,,,,,Urban,,,Private,,,No,Randomized trial,Cluster,School,105.29,-999,-999,Private,Urban,K-12,Australia
0.543714725072711,0.027428606036835,0.248813281649156,0.266026376312806,0.49881186999625,10096,Spence Children’s Anxiety Scale-SCAS: Cutoff,Self-report,Anxiety diagnosis,"Lowry-Webster, et al 2001",spgrant,,8,1-FRIENDS-2-No Treatment-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0,FRIENDS,No Treatment,Categorical,10096,45,Post-test,0,Intervention,,,392,139,,,-999,-999,,,4,3,,,,,,,,,365,27,116,23,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.53,no,yes,yes,no,Cluster,84.86,yes,yes,0.03,3.5158,1.87504666608594,diagnosis,Spence Children’s Anxiety Scale (SCAS),FRIENDS Program,-0.876445256584591,0.0707700328941224,"spgrant,mschweer",8,Lowry-Webster 2001,Hayley M. Lowry-Webster,Griffith University,h.lowry@gu.edu.au,2001,-999,-999,2,Universal,,"Children aged between 10 and 13 years were recruited from Grades 5 to 7, from seven Catholic schools in the Brisbane metropolitan area (approx. three groups per school = 85 students after refusals and dropouts). As the program was universal, all children who agreed to participate from three class groups per school were invited to undertake the program (consent rate = 97.2%). Parents of these children were also invited to participate in three parent evenings (the family component). A letter including a consent form was sent to all parents, outlining that their child had been invited to participate in a group to help build their emotional resilience, coping skills, and problem-solving abilities.",Include: Grade 5-7 students from seven Catholic schools in the Brisbane metropolitan area,594,-999,7,0.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,Cannot tell,10-13,Range,,,,,5,6,7,,,,,,,,,,,,Cannot tell,Australia,,,,,,,,,,,,,,,Urban,,,,Parochial,,No,Randomized trial,Cluster,School,84.86,-999,-999,Parochial,Urban,K-8,Australia
0.0192203606158179,0.0107570465781685,0.128467989987353,0.163046519780365,0.358424315563765,10111,Spence Children’s Anxiety Scale-SCAS: Cutoff,Self-report,Anxiety diagnosis,"Gallegos Guajardo, et al 2008",spgrant,,8,1-AMISTAD (Friends Spanish Version)-2-TAU-3-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0,AMISTAD (Friends Spanish Version),TAU,Categorical,10111,87,Post-test,0,Intervention,,,492,463,,,15,16,,,4,4,,,,,,,,,426,66,399,64,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.53,yes,no,yes,no,Cluster,128.75,yes,no,0.03,4.8325,2.19829479369806,diagnosis,Spence Children’s Anxiety Scale (SCAS),AMISTAD,-0.0299800037393205,0.026584167612489,"spgrant,mschweer",8,Gallegos 2008,Julia Gallegos,University of Monterrey,juliagallegos@centrocies.com.mx,2008,2007_01_08,2007_10_10,2,Universal,,"The metropolitan area of Monterrey, México, was selected as the location for this study, as a large-scale epidemiological study showed that the highest 30-day prevalence rate for anxiety disorders in México was observed in the region formed by the three metropolitan areas: México City, Guadalajara, and Monterrey (Medina-Mora et al., 2003). Monterrey, the least populous of these urban areas, serves as the most tractable location to undertake a school-based study. In order to reduce the variance and school effects, schools were divided by socioeconomic strata. Schools in Monterrey serve children from various socioeconomic levels, depending on their location. The SES level of the schools was determined by the Instituto Nacional de Estadística Geografía e Informática (INEGI; National Institute of Statistics, Geography, and Information). According to INEGI, about 70% of the population that lives in the metropolitan area of Monterrey is considered to be of a medium SES, ranked as number 6. In order to be representative, the schools were selected from a pool of schools ranked as number 6 according to the neighborhood in which they are located (Instituto Nacional de Estadística Geográfica e Informática, 2006). Eligible schools were selected from a government database that identified 1,326 private and public schools in the metropolitan area of Monterrey, and of these, 601 schools had at least two classrooms at each grade 4 and 5. Eighty-five of these schools were public schools served by Gabinetes de Servicios Educativos, and 33 of these schools were from a medium SES. Eight schools were randomly selected from the 33 schools that met the inclusion criteria using the Microsoft Excel program. Informed assent was obtained from all parents of children with LD through consent forms sent home or distributed during meetings with parents. The letters explained the assessment and intervention procedures. Only the data of students who provided parental permission and gave assent was used in this study.","Include: Grade 4-5 students at schools that were representative of a level 6 socioeconomic status (SES), coeducational, inclusive settings for students with a learning disability, at least two classrooms at each grade 4 and 5, and (e) served by Gabinetes de Servicios Educativos (Office of Educational Services), a unit within the Special Education Department of the State of Nuevo León (this unit is responsible for providing services to students with mild disabilities such as learning disabilities and behavior disorders).",1030,32,8,0.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.89,Mean,0.80,Standard deviation,,,,4,5,,,,,,,,,,,,Only reported Primary School,,,,,,,,,,,,,,,Mexico,,,Urban,,Public,,,,No,Randomized trial,Cluster,School,128.75,-999,-999,Public,Urban,K-8,Mexico
1.03433978183451,0.0874764454057467,0.447519023870975,0.538179876399323,0.668968626970634,10114,Spence Children’s Anxiety Scale-SCAS: Cutoff,Self-report,Anxiety diagnosis,"Collins, et al 2014",spgrant,,8,"1-Lessons for Living: Think well, do well (Psychologist-led)-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0","Lessons for Living: Think well, do well (Psychologist and Teacher led)",TAU,Categorical,10283,95,Post-test,0,Intervention,,,179,135,,,9,7,,,5,7,,,,,,,,,175,4,116,19,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.46,no,no,yes,no,Cluster,19.17,yes,yes,0.03,1.5451,1.24302051471406,diagnosis,Spence Children’s Anxiety Scale (SCAS),"Lessons for Living: Think well, do well",-1.84025564544888,0.28963757936119,"spgrant,mschweer",8,Collins 2014,Lisa Marks Woolfson,University of Strathclyde,lisa.woolfson@strath.ac.uk,2014,-999,-999,3,Universal,,"All 124 primary schools from South Lanarkshire Council were invited to take part in this evaluation study of LfL. Forty seven primary schools responded that they would be willing to take part. Schools were excluded from taking part if they were unable to allow a teacher to attend the one-day training event and if they only had one primary six (or one composite primary 5/6 or 6/7) class available for the study. The remaining schools were then grouped according to the socioeconomic status of their catchment area as determined by Free School Meal Entitlement (FSME) and their size. In order to ensure that the sample size was sufficient as determined by the pilot study (i.e. 313 participants), it was estimated that 18 classes would be required with class sizes ranging from around 18 to 33. A group of nine schools matched by FSME status and by numbers of pupils on the school roll, were therefore selected to take part in the study. All schools had more than 200 participants in their total population and the mean FSME was 6.9% (s.d. = 3.5). Participating schools were all from reasonably affluent suburbs that had lower deprivation levels than the average for the local authority (15.8%, South Lanarkshire Council, 2008). Consents were not provided for five participants in the psychologist-led group, 13 in the teacher-led group and 22 participants in the comparison group. These pupils were therefore not included in the study, although participants in the intervention groups continued to receive the intervention programme.","Include: US-equivalent Grade 3-5 school students attending primary schools in South Lanarkshire Council, Scotland. Exclude: schools unable to allow a teacher to attend the one-day training event; schools that had only one primary six (or one composite primary 5/6 or 6/7) class available for the study.",345,18,9,0.46,-999,0.01,-999,-999,0.99,-999,-999,-999,-999,-999,10,Median,9-10,Range,,,3,4,5,,,,,,,,,,,,Only reported Primary School,,,,United Kingdom,,,,,,,,,,,,,Suburban,,,,,,Cannot tell,No,Randomized trial,Cluster,Classroom,19.17,-999,-999,Cannot Tell,Suburban,K-8,United Kingdom
-0.194828022660349,0.0909041481518635,0.403618906455863,0.51319865454328,0.635310086851974,10120,GAD-7-GAD-7: Cutoff,Self-report,Anxiety diagnosis,"Calear, et al 2016",spgrant,,8,1-e-couch Anxiety and Worry program -2-Waitlist-1-GAD-7-GAD-7: Cutoff-Categorical-0,e-couch Anxiety and Worry program,Waitlist,Categorical,10120,4,Post-test,0,Comparison,,,92,60,,,6,6,,,3,3,,,,,,,,,81,11,55,5,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.71,yes,yes,yes,yes,Cluster,18.75,yes,yes,0.03,1.5325,1.237941840314,diagnosis,Generalized Anxiety Disorder Scale (GAD-7),e-couch Anxiety and Worry program,0.361013345537331,0.263372859025033,"spgrant,mschweer",8,Calear 2016a,Alison L. Calear,The Australian National University,Alison.Calear@anu.edu.au,2016,2010_05_13,-999,2,Universal,,"Three schools from the Australian Capital Territory and South Australia were recruited to participate in the Y-Worri pilot trial. Of these schools, two were coeducational public high schools and one was a private single-sex girl's secondary school. Two of the three schools were located in a metropolitan area. Information and consent forms were distributed to all students and their parent/guardian in participating classes, with written informed consent required from both.",Include: secondary school students in the Australian Capital Territory and South Australia,225,12,3,0.71,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.03,15.0,Mean,1.08,Standard deviation,,,,,,,,8,9,10,11,12,,,,High School,,Only reported Secondary School,,Australia,,,,,,,,,,,,,Rural,,Urban,,Public,,Parochial,,No,Randomized trial,Cluster,Classroom,18.75,ACTRN12610000408088,-999,Public+Parochial,Rural+Urban,K-12,Australia
0.484370223749763,0.0739260183814071,0.558599016415683,0.478764917138372,0.747394819633962,10129,Spence Children’s Anxiety Scale-SCAS: Cutoff,Self-report,Anxiety diagnosis,"Barrett, et al 2001",spgrant,,8,1-FRIENDS - psychologist led-3-TAU-4-Spence Children&rsquo;s Anxiety Scale-SCAS: Cutoff-Categorical-0,FRIENDS - Psychologist and Teacher led,TAU,Categorical,10129,407,Post-test,0,Intervention,,,405,84,,,-999,-999,,,-999,-999,,,,,,,,,392,13,78,6,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.595,no,yes,yes,no,Cluster,48.9,yes,yes,0.03,2.437,1.56108936323325,diagnosis,Spence Children’s Anxiety Scale (SCAS),FRIENDS Program,-0.799880380029744,0.229215845882513,"spgrant,mschweer",8,Barrett 2001,Paula Barrett,Griffith University,p.barrett@mailbox.gu.edu.au,2001,-999,-999,3,Universal,,"All participants for the current study were Grade 6 children (mean age 10.75 years, range 10-12 years, SD = 0.53 years) living in the metropolitan area of Brisbane, Australia. Participating schools responded to a written invitation to participate in an anxiety prevention research programme. Schools selected for approach were representative of varying levels of socio-economic advantage and religious affiliation. Of the 12 schools that were invited to participate in the research, 2 declined, leaving the remaining 10 schools to participate. All schools were coeducational, and 6 of the 10 schools extended from primary through to secondary school. Children attending these schools (and living in Brisbane in general) were predominantly from Anglo-Saxon families with English as their primary language. Children came from both dual-parent (75.35%) and single-parent (11.55%) families (13.1% of participants did not report on their family composition). An information sheet outlining the aims and objectives of the project was sent home to all parents of participating children. Each information sheet contained an informed consent slip, which parents were asked to sign and return. A good consent rate was obtained for each condition: therapist-led (87.4%), teacher-led (99.2%), and standard curriculum with monitoring (74.3%). Once all consent forms had been returned, teacher training and pre-intervention screening were organized.","Include: Grade 6 children living in the metropolitan area of Brisbane, Australia",489,-999,10,0.595,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10.75,Mean,0.53,Standard deviation,,,,,,6,,,,,,,,,,,Only reported Primary School,,,Australia,,,,,,,,,,,,,,,Urban,,,,,Cannot tell,No,Randomized trial,Cluster,School,48.9,-999,-999,Cannot Tell,Urban,K-8,Australia
0.0796986677486309,0.00925488573790349,0.68546098933923,0.158776698743757,0.827925714867723,10131,Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff,Self-report,Anxiety diagnosis,"Aune, et al 2009",spgrant,,8,1-Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA)-2-No Treatment-4-Social Phobia and Anxiety Inventory for Children (SPAI-C)-SPAI-C: Cutoff-Categorical-34.76,Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA),No Treatment,Categorical,10131,873,Post-test,34.76,Intervention,,,854,692,,,-999,-999,,,-999,-999,,,,,,,,,801,75,638,69,NA - I entered the necessary information above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.51,no,no,yes,no,Cluster,874,yes,yes,0.03,27.19,5.21440312979348,diagnosis,Social Phobia and Anxiety Inventory for Children (SPAI-C),Norwegian Universal Preventive Program for Social Anxiety (NUPP-SA),-0.12696362923185,0.0252100400639658,"spgrant,mschweer",8,Aune 2009,Tore Aune,Norwegian University of Science and Technology,tore.aune@svt.ntnu.no,2009,2004_09,2005_09,2,Universal,,"Starting in the fall of 2004, all sixth- to ninth-grade children in two counties in the central region of Norway (N = 2,148) were asked to participate in this study. In many respects, the two counties provide a representative sample of the Norwegian population and are similar in sociodemographic parameters, such as geography, industry, source and level of income, age distribution, morbidity, and mortality. The population is stable, with a net emigration rate of 0.3% per annum (1996 –2000), and homogenous (less than 3% non-Caucasians; Holmen et al., 2003). Norwegian schools are highly integrated, including children with reading and behavioral difficulties as well as intellectually and physically impaired children. Initially, two selected counties—Steinkjer and Levanger in the Nord-Trøndelag province of Norway—agreed to participate in this study. The study plan was introduced to the school authorities in both counties using written materials and several meetings. After a general permission to proceed with the study was obtained, separate meetings with each school principal were held. Teachers responsible for each class were given written as well as oral instructions on how to distribute consent forms and how to conduct the assessments. Consent forms and written information describing the aim of the study were distributed to pupils by a teacher in a class session and taken home to parents/guardians. The teacher gave pupils who had not returned the written consent form after a week one reminder. A total sample of 1,748 children and adolescents (856 male subjects and 892 female subjects) who were 11–14 years of age (M = 12.6, SD = 1.1, range = 10–15) returned a consent form signed by themselves and one parent or guardian.",Include: Students in Norwegian grades 6-9 (US grades 5-8) in two counties in the central region of Norway. Exclude: Children with severe mental retardation or a reading comprehension level below 9 years of age.,1748,-999,-999,0.51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.6,Mean,1.1,Standard deviation,,,,,5,6,7,8,,,,,,,,,,,Cannot tell,,,,,,,,,,Norway,,,,,,,Cannot tell,,,,Cannot tell,Yes,Randomized trial,Cluster,District,874,-999,-999,Cannot Tell,Unclear,K-8,Norway
-0.00173147486677361,0.0102932852316364,0.0281727216789888,0.101455828968258,0.167847316567733,10121,Social Anxiety Scale for Adolescents (SAS-A)-SAS-A,Self-report,Anxiety symptoms,"Calear, et al 2016",spgrant,,8,1-e-GAD school-3-Waitlist-4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A-Continuous-0,e-GAD school,Waitlist,Continuous,10121,214,Post-test,0,Intervention,,,137,334,,,,,,,8,11,,,35.7,20.25,,,35.74,24.12,,,,,,Means and Standard Errors (SEs),,,,,,,,,,35.7,1.73,35.74,1.32,,,,,,,,,,,,,,,8,0.628,yes,yes,yes,yes,Cluster,58.9,yes,yes,0.03,2.737,1.65438810440598,anxiety,Social Anxiety Scale for Adolescents (SAS-A),e-GAD,-0.00173147486677361,0.0102932852316364,"spgrant,mschweer",8,Calear 2016b,Alison L. Calear,The Australian National University,Alison.Calear@anu.edu.au,2016,2011_08_25,2013,3,Universal,,"Thirty-two schools from across Australia were recruited to participate in the Y-Worri trial. Schools were recruited according to the location of six participating headspace centres. Information and consent forms containing details of the trial were distributed to all students and their parent/guardian in participating schools, with written informed consent required from both for the completion of study questionnaires. Approximately 55% of eligible students and their parents consented to participate in the trial.",Include: Australian high school students,1767,-999,32,0.628,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.12,14.83,Mean,0.97,Standard deviation,,,,,,,,,9,10,11,12,,,,High School,,,,Australia,,,,,,,,,,,,,Rural,,Urban,,Public,,Parochial,,Yes,Randomized trial,Cluster,School,58.9,ACTRN12610001103055,-999,Public+Parochial,Rural+Urban,9-12,Australia
0.0242182645883247,0.00588560775239394,0.0161089084183022,0.0767177147234845,0.126920874635744,10121,Social Anxiety Scale for Adolescents (SAS-A)-SAS-A,Self-report,Anxiety symptoms,"Calear, et al 2016",spgrant,,8,1-e-GAD school-3-Waitlist-4-Social Anxiety Scale for Adolescents (SAS-A)-SAS-A-Continuous-26,e-GAD school,Waitlist,Continuous,10121,214,Post-test,26,Comparison,,,284,423,,,,,,,8,11,,,37,27.64,,,36.34,26.94,,,,,,Means and Standard Errors (SEs),,,,,,,,,,37,1.64,36.34,1.31,,,,,,,,,,,,,,,8,0.628,yes,yes,yes,yes,Cluster,58.9,yes,yes,0.03,2.737,1.65438810440598,anxiety,Social Anxiety Scale for Adolescents (SAS-A),e-GAD,0.0242182645883247,0.00588560775239394,"spgrant,mschweer",8,Calear 2016b,Alison L. Calear,The Australian National University,Alison.Calear@anu.edu.au,2016,2011_08_25,2013,3,Universal,,"Thirty-two schools from across Australia were recruited to participate in the Y-Worri trial. Schools were recruited according to the location of six participating headspace centres. Information and consent forms containing details of the trial were distributed to all students and their parent/guardian in participating schools, with written informed consent required from both for the completion of study questionnaires. Approximately 55% of eligible students and their parents consented to participate in the trial.",Include: Australian high school students,1767,-999,32,0.628,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.12,14.83,Mean,0.97,Standard deviation,,,,,,,,,9,10,11,12,,,,High School,,,,Australia,,,,,,,,,,,,,Rural,,Urban,,Public,,Parochial,,Yes,Randomized trial,Cluster,School,58.9,ACTRN12610001103055,-999,Public+Parochial,Rural+Urban,9-12,Australia
